"KID","BOX_NUMBER","STARTING_DEPTH","ENDING_DEPTH"
"1002939091","G1334","3250","3550"
"1001276128","49245","3000","3300"
"1001276130","49248","3000","3500"
"1001276129","49269","3300","3745"
"1001276126","49310","2990","3760"
"1001276122","49365","3000","3761"
"1001276134","04971","3290","3729"
"1001276131","32727","3250","3703"
"1002939221","16023","2500","3595"
"1001276139","50610","3200","3794"
"1001276138","60616","320","700"
"1001276138","60617","700","2600"
"1001276138","60618","2600","3500"
"1001276140","04842","3430","3783"
"1001276142","49644","3000","3787"
"1001276141","49324","3000","3786"
"1001276143","49368","3000","3799"
"1001276144","49233","810","1100"
"1001276144","49234","1100","2600"
"1001276144","49235","2600","3770"
"1001276144","49236","3770","3800"
"1006116311","70769","1400","1650"
"1006116311","70771","2570","3365"
"1006116311","70772","3365","3783"
"1006116946","J9469","2900","3756"
"1030568037","41371","3752","3880"
"1001276148","49220","2600","3515"
"1001276150","49264","2500","3225"
"1002939173","49241","3650","3749"
"1001276151","49330","3000","3755"
"1001276158","49275","3450","3760"
"1006116922","F6743","2900","3640"
"1001276166","48490","3000","3758"
"1006116966","J9970","3000","3660"
"1002939480","52210","3600","3950"
"1001276159","49418","2920","3753"
"1001276162","32753","3420","3765"
"1001276173","04164","3650","3760"
"1002939423","22945","2700","3375"
"1006117032","F5678","2900","3700"
"1001276180","49499","3600","3765"
"1001276182","04969","3200","3770"
"1001276178","49369","2650","3775"
"1001276188","49272","3000","3755"
"1001276177","49328","3000","3767"
"1006117024","B7566","3700","4040"
"1006116887","J7291","3000","3650"
"1002939774","49450","3000","3812"
"1001276187","49250","3100","3758"
"1001276186","05091","3650","3765"
"1001276184","49308","3000","3771"
"1001276195","49270","3000","3777"
"1001276200","05090","3650","3801"
"1001276199","49334","3000","3350"
"1001276197","65116","3100","3788"
"1001276190","52609","3500","3956"
"1001276191","B0025","3100","3500"
"1001276192","04979","3400","3735"
"1006117646","B9959","1413","3940"
"1006117531","B8083","1400","2600"
"1002939217","24128","2000","2950"
"1002939217","24220","2950","3817"
"1001276206","54440","2000","3300"
"1001276207","49563","3500","3916"
"1006116871","F0608","2900","3570"
"1002939424","48486","1450","3600"
"1002939424","48487","3600","3786"
"1001276208","25990","3500","3772"
"1001276209","35485","3200","3755"
"1001276210","49393","3200","3751"
"1006116944","J9471","2900","3764"
"1002939266","35629","400","3250"
"1002939306","A1210","3000","3825"
"1001276215","02717","3500","3675"
"1006116433","A1204","1500","2100"
"1006117650","C0014","1900","3615"
"1006117519","B7846","1600","3190"
"1001276220","49151","2600","3794"
"1001276223","49166","3400","3600"
"1001276227","49198","600","1600"
"1001276221","44766","3600","3775"
"1002939482","49223","3000","3777"
"1001276225","49271","3000","3500"
"1001276228","50478","3200","3773"
"1001276232","38307","3250","3783"
"1002939073","49141","190","2710"
"1001276218","04970","3200","3785"
"1001276234","49216","3000","3620"
"1001276236","49346","3000","3800"
"1001276235","34545","3200","3809"
"1001276240","49194","2500","3600"
"1001276237","49292","3400","3778"
"1032491816","49550","3000","3823"
"1001276241","49362","3000","3792"
