Curve,File,Unit,Min,Max,Mean,Std,Count,Range
RLL3,Mary_Ann_2-1.las,Unknown,0.0,100000.0,507.2831435112774,6807.269800936736,8823,100000.0
RLL3,Mary_Ann_3-1.las,Unknown,0.0,100000.0,668.0946279155911,7828.443884343564,8909,100000.0
RLL3,Mary_Ann_4-1.las,OHM-M,0.0,100000.0,314.6272279901906,5277.304670789233,8971,100000.0
RLL3,Mary_Ann_5-1.las,Unknown,0.0,100000.0,183.0017982067744,3750.678049399286,9034,100000.0
RLL3,Mary_Ann_6-1.las,OHM-M,0.0,37840.5156,77.07590267361881,1351.8125220732632,9014,37840.5156
RLL3,Mary_Ann_7-1.las,OHM-M,0.0,37988.4844,194.63718197918973,2187.5079090544946,9034,37988.4844
RLL3,Mary_Ann_8-1.las,OHM-M,0.0,46536.5703,118.65740829246546,1679.2637153909327,8972,46536.5703
RLL3,Walter_'A'_2-1.las,OHM-M,0.0,100000.0,936.8951920091573,9430.143131652161,9173,100000.0
RLL3,Walter_1-1.las,OHM-M,0.0,41463.1875,237.369840179263,2641.9575665437646,9037,41463.1875
RLL3,Walter_2-1.las,OHM-M,0.0,100000.0,526.1860580696203,6761.522830892687,8848,100000.0
RLL3,Walter_3-1.las,Unknown,0.0,39407.7773,176.39938642222222,1816.089445301425,9000,39407.7773
RLL3,Walter_4-1.las,Unknown,0.0,100000.0,655.3309651880207,7815.117726860736,8882,100000.0
RLL3,Walter_5-1.las,OHM-M,0.0,100000.0,322.6484066048279,5328.768009312542,8948,100000.0
RLL3,Walter_6-1.las,OHM-M,0.0,100000.0,733.0940459310191,8255.477089966847,8872,100000.0
RLL3,Walter_7-1.las,OHM-M,0.0,100000.0,666.1294855396242,7828.200159531812,8997,100000.0
RLL3,Walter_8-1.las,Unknown,0.0,100000.0,628.2599824103874,7398.093469056741,9011,100000.0
RLL3,Walter_Bros._1-6.las,Unknown,0.0,100000.0,336.46456460828483,5020.091712246555,9101,100000.0
RXORT,Downing_'B'_1-1.las,NO_UNIT,-400.5764,475.8408,5.741210751978889,91.73229945185224,9096,876.4172
RXORT,Downing_1-6.las,NO_UNIT,-439.8655,318.1582,-14.963679523017197,47.20246476599517,9015,758.0237
RXORT,Ladenburger_'A'_1-6.las,NO_UNIT,-511.0262,391.952,-9.848391153169013,48.241269369661566,9088,902.9782
RXORT,Ladenburger_'B'_1-6.las,NO_UNIT,-334.545,477.8208,-5.131131624025473,48.23361053457395,9107,812.3658
RXORT,Ladenburger_1-6.las,Unknown,-485.3209,330.5927,-9.4433023916621,47.095399855652325,9115,815.9136
RXORT,Mary_Ann_1-1.las,Unknown,-359.0508,483.784,1.0019268050440797,73.21909239013212,8961,842.8348
RXORT,Mary_Ann_2-1.las,Unknown,-469.829,475.0133,-16.45068097445173,47.33496472416806,8846,944.8423
RXORT,Mary_Ann_3-1.las,Unknown,-484.6512,343.6751,-12.401360955684869,49.25748458546764,8936,828.3263
RXORT,Mary_Ann_4-1.las,NO_UNIT,-499.625,284.7502,-13.598381948615282,41.671695477940304,8991,784.3752
RXORT,Mary_Ann_5-1.las,Unknown,-472.4907,465.1551,-7.538448029148726,55.86208929833645,9057,937.6458
RXORT,Mary_Ann_6-1.las,NO_UNIT,-402.8488,475.7649,7.101314187693673,96.31580472701077,9036,878.6137
RXORT,Mary_Ann_7-1.las,NO_UNIT,-376.6125,480.9372,4.937003035990286,95.07788134869838,9058,857.5497
RXORT,Mary_Ann_8-1.las,NO_UNIT,-378.9936,474.3726,-5.407671102703907,55.580844981789696,8987,853.3661999999999
RXORT,Walter_'A'_2-1.las,NO_UNIT,-499.625,481.3893,-7.418351067305597,67.77701280463612,9182,981.0143
RXORT,Walter_1-1.las,NO_UNIT,-412.2402,487.1415,3.160247575924904,83.38133226422532,9055,899.3817
RXORT,Walter_2-1.las,NO_UNIT,-499.625,397.4325,-8.726995432447712,48.87560632609552,8845,897.0575
RXORT,Walter_3-1.las,Unknown,-357.5177,478.1735,7.123262171453921,100.79153167531447,9017,835.6912
RXORT,Walter_4-1.las,Unknown,-481.7369,350.7716,-11.82129098664272,47.71759557033156,8909,832.5084999999999
RXORT,Walter_5-1.las,NO_UNIT,-419.9622,342.4761,-10.599232754010696,42.747853447121095,8976,762.4383
RXORT,Walter_6-1.las,NO_UNIT,-500.1071,314.6215,-17.417253648937365,43.321553417389566,8893,814.7286
RXORT,Walter_7-1.las,NO_UNIT,-449.439,418.8443,-16.18756941828255,43.43846358767938,9025,868.2833
RXORT,Walter_8-1.las,Unknown,-500.0672,468.3274,-9.756385478693968,47.862764098616786,9035,968.3946000000001
RXORT,Walter_Bros._1-6.las,Unknown,-475.7787,475.2986,-8.476433837387686,50.057018606001925,9126,951.0773
