KID,LOCATION,ORIGINAL-OPERATOR,CURRENT-OPERATOR,LEASE,API,ELEVATION,LOGGER,TOOL,TOP,BOTTOM,TEMP,SCANNED,LOG_DATE
"1001327988","T31S R1W, Sec. 33,   NE NE NW SE","STELBAR OIL CORP","BEREXCO LLC","WELLINGTON UNIT, was BARLOW 'B' 1 68","15-191-10126","1262 DF","Strip/Sample Logs","Sample Log","3390","3702","","Scanned","08/218/1936"
"1001327989","T31S R1W, Sec. 33,     SW SE SE","STELBAR OIL CORP INC","","BARLOW 'A' 3","15-191-10122","1268 DF","Strip/Sample Logs","Sample Log","0","3711","","Scanned","08/223/1937"
"1001327990","T31S R1W, Sec. 33,     W2 E2 SE","STELBAR OIL CORP INC","","F. BARLOW 'A' 2","15-191-10121","1270 DF","Strip/Sample Logs","Sample Log","73","3711","","Scanned","04/95/1937"
"1001327993","T31S R1W, Sec. 33,     W2 W2 SE","STELBAR OIL CORP","Bramble Oil Company","BARLOW 'B' 3","15-191-10129","1257 DF","Strip/Sample Logs","Sample Log","0","3681","","Scanned","12/361/1937"
"1001327994","T31S R1W, Sec. 33,   NW SE NW SW","STELBAR OIL CORP","BEREXCO LLC","DORRETTA ERKER 18","15-191-10108","1235 DF","Strip/Sample Logs","Sample Log","0","3661","","Scanned","06/169/1938"
"1001327995","T31S R1W, Sec. 33,     NE SW SW","STELBAR OIL CORP.","BEREXCO LLC","WELLINGTON UNIT, was ERKER 17 73","15-191-10107","1231 DF","Strip/Sample Logs","Sample Log","0","3671","","Scanned","06/170/1937"
"1001327996","T31S R1W, Sec. 33,     SE SE SW","STELBAR OIL CORP","","ERKER 16","15-191-10110","1250 DF","Strip/Sample Logs","Sample Log","0","3706","","Scanned","05/121/1937"
"1001327997","T31S R1W, Sec. 33,     SW SE SW","STELBAR OIL CORP INC","BEREXCO LLC","WELLINGTON UNIT, was ERKER 15 85","15-191-10113","1248 DF","Strip/Sample Logs","Sample Log","3488","3699","","Scanned","12/341/1936"
"1001327997","T31S R1W, Sec. 33,     SW SE SW","STELBAR OIL CORP INC","BEREXCO LLC","WELLINGTON UNIT, was ERKER 15 85","15-191-10113","1248 DF","Strip/Sample Logs","Sample Log","0","3699","","Scanned","12/341/1936"
"1001327998","T31S R1W, Sec. 33,     SE SW SW","STELBAR OIL CORP INC","Pluggers, Inc.","ERKER 14","15-191-10111","1243 DF","Strip/Sample Logs","Sample Log","3410","3676","","Scanned","11/314/1936"
"1001327999","T31S R1W, Sec. 33,     SW SW SW","STELBAR OIL CORP","Pluggers, Inc.","ERKER 13","15-191-10109","1227 DF","Strip/Sample Logs","Sample Log","3430","3670","","Scanned","10/279/1936"
"1001328000","T31S R1W, Sec. 33,     E2 E2 SW","STELBAR OIL CORP","BEREXCO LLC","WELLINGTON UNIT, was ERKER 10 75","15-191-10112","1249 DF","Strip/Sample Logs","Sample Log","40","3684","","Scanned","01/11/1938"
"1001328001","T31S R1W, Sec. 33,     W2 E2 SW","STELBAR OIL CORP INC","","ERKER 11","15-191-10115","1241 DF","Strip/Sample Logs","Sample Log","80","3699","","Scanned","03/84/1937"
"1001328002","T31S R1W, Sec. 33,       W2 SW","STELBAR OIL CORP INC","","ERKER 12","15-191-10114","1234 DF","Strip/Sample Logs","Sample Log","3400","3666","","Scanned","08/241/1936"
"1001328003","T31S R1W, Sec. 33,     SE SE NW","SHAWVER E B","","ERKER 4","15-191-10132","1255 DF","Strip/Sample Logs","Sample Log","3425","3688","","Scanned","04/94/1936"
"1001328006","T31S R1W, Sec. 33,     SW NW NW","SLICK  PRYOR AND LOCKHART","BEREXCO LLC","WELLINGTON UNIT, was PEASEL 2 41","15-191-10136","1262 DF","Strip/Sample Logs","Sample Log","3400","3687","","Scanned","03/75/1935"
"1001328007","T31S R1W, Sec. 33,     S2 N2 NW","SLICK PRYOR AND LOCKHART","","PEASEL 3","15-191-10117","1259 DF","Strip/Sample Logs","Sample Log","3350","3683","","Scanned","09/267/1935"
"1001328008","T31S R1W, Sec. 33,     SE NE NW","SLICK PRYOR AND LOCKHART","","PEASEL 4","15-191-10130","1244 DF","Strip/Sample Logs","Sample Log","3400","3672","","Scanned","11/311/1935"
"1001328009","T31S R1W, Sec. 33,       N2 NW","SLICK PRYOR AND LOCKHART","","PEASEL 5","15-191-10116","1259 DF","Strip/Sample Logs","Sample Log","3400","3689","","Scanned","12/345/1935"
"1001328010","T31S R1W, Sec. 33, C   NE NE NW","SLICK PRYOR AND LOCKHART","","PEASEL 6","15-191-10127","1245 DF","Strip/Sample Logs","Sample Log","3380","3671","","Scanned","12/365/1935"
"1001328011","T31S R1W, Sec. 33,     S2 S2 NW","STELBAR OIL CORP","","ERKER 5","15-191-10133","1250 DF","Strip/Sample Logs","Sample Log","3352","3677","","Scanned","09/263/1936"
"1001328012","T31S R1W, Sec. 33,     NW SW NE","SHAWVER E B","Bramble Oil Company","BARLOW 1","15-191-10103","1260 DF","Strip/Sample Logs","Sample Log","3415","3686","","Scanned","10/280/1935"
"1001328013","T31S R1W, Sec. 33, C   SE SW NE","SHAWVER E B","","BARLOW 2","15-191-43925","1252 DF","Strip/Sample Logs","Sample Log","3370","3680","","Scanned","03/86/1936"
"1001328014","T31S R1W, Sec. 33, C   SW SW NE","SHAWVER E B","","BARLOW 3","15-191-43926","1249 DF","Strip/Sample Logs","Sample Log","3009","3678","","Scanned","05/148/1936"
